bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4676,2025-03-22 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4677,2025-03-22 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4678,2025-03-22 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4679,2025-03-22 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4680,2025-03-22 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4681,2025-03-22 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4682,2025-03-22 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4683,2025-03-22 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4684,2025-03-22 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4685,2025-03-22 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4686,2025-03-22 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4687,2025-03-22 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4688,2025-03-22 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4689,2025-03-22 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4690,2025-03-22 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4691,2025-03-22 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4692,2025-03-23 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4693,2025-03-23 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4694,2025-03-23 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4695,2025-03-23 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4696,2025-03-23 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4697,2025-03-23 05:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4698,2025-03-23 06:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4699,2025-03-23 07:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4700,2025-03-23 08:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4701,2025-03-23 09:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4702,2025-03-23 10:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4703,2025-03-23 11:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4704,2025-03-23 12:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4705,2025-03-23 13:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4706,2025-03-23 14:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4707,2025-03-23 15:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4708,2025-03-23 16:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4709,2025-03-23 17:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4710,2025-03-23 18:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4711,2025-03-23 19:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4712,2025-03-23 20:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4713,2025-03-23 21:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4714,2025-03-23 22:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4715,2025-03-23 23:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4716,2025-03-24 00:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4717,2025-03-24 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4718,2025-03-24 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4719,2025-03-24 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4720,2025-03-24 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
